1,"Requisito de Licitação: A data de abertura da sessão pública será às 09:00h do dia 29/07/2025, no endereço eletrônico https://www.portaldecompraspublicas.com.br, horário de Brasília - DF."
2,"Requisito de Objeto: Constitui objeto da licitação a seleção de pessoa jurídica especializada para prestação de serviço de fornecimento de sistema informatizado de gestão do Imposto Sobre Serviços de Qualquer Natureza (ISSQN) e de Nota Fiscal de Serviços Eletrônica (NFS-e), interfaceando com o Sistema de Gestão Tributária da Prefeitura de Juiz de Fora (PJF), com suporte e manutenção."
3,"Requisito de Orçamento: As despesas decorrentes da presente licitação correrão por conta da dotação nº: 081100.04.123.0001.1060.0000 - Aperfeiçoamento do sistema de gerenciamento do ISSQN."
4,"Requisito de Credenciamento: O Credenciamento é o nível básico do registro cadastral no Portal de Compras Públicas que permite a participação dos interessados na modalidade LICITATÓRIA, em sua FORMA ELETRÔNICA."
5,"Requisito de Cadastro: O cadastro deverá ser feito pelo licitante no Portal de Compras Públicas, acessando o sítio www.portaldecompraspublicas.com.br."
6,"Requisito de Responsabilidade: O licitante responsabilizar-se-á exclusiva e formalmente pelas transações efetuadas em seu nome, assume como firmes e verdadeiras suas propostas e seus lances."
7,"Requisito de Atualização: É de responsabilidade do cadastrado conferir a exatidão dos seus dados cadastrais no Portal de Compras Públicas e mantê-los atualizados."
8,"Requisito de Participação: Poderão participar desta licitação interessados cujo ramo de atividade seja compatível com o objeto licitado, e que estejam com Credenciamento regular no Portal de Compras Públicas."
9,"Requisito de Cooperativas: Será permitida a participação de sociedades cooperativas, desde que apresentem a documentação de habilitação descrita no subitem 9.9.6."
10,"Requisito de Consórcio: Será permitida a participação de licitantes em consórcio, devendo serem observadas as normas estabelecidas pelo Art. 15 da Lei Federal nº 14.133/2021 e as condições deste Edital."
11,"Requisito de Proibição: Não poderão participar desta licitação os interessados: proibidos de participar de licitações e celebrar contratos administrativos, na forma da legislação vigente."
12,"Requisito de Declarações: Como Condição para Participação, a licitante assinalará “SIM” ou “NÃO” em campo próprio do sistema eletrônico, relativo às seguintes Declarações."
13,"Requisito de Tratamento Favorecido: Será concedido tratamento favorecido para as microempresas e empresas de pequeno porte, para as sociedades cooperativas mencionadas no artigo 34 da Lei nº 11.488/2007."
14,"Requisito de Documentação: Os licitantes encaminharão, exclusivamente por meio do sistema, proposta com a descrição do objeto ofertado e o preço, até a data e o horário estabelecidos para Recebimento das Propostas."
15,"Requisito de Acompanhamento: Incumbirá ao licitante acompanhar as operações no sistema eletrônico durante a sessão pública do Pregão."
16,"Requisito de Abertura: A abertura da presente licitação dar-se-á em sessão pública, por meio de sistema eletrônico, na data, horário e local indicados neste Edital."
17,"Requisito de Classificação: O Pregoeiro verificará as propostas apresentadas, desclassificando, desde logo, aquelas que não atendam ao especificado no Art. 59 da Lei Federal nº 14.133/2021."
18,"Requisito de Propostas: O sistema ordenará automaticamente as propostas classificadas, sendo que somente estas participarão da fase de lances."
19,"Requisito de Diligência: No caso de diligência, será disponibilizado no sistema um campo próprio para troca de mensagens entre o Pregoeiro e os licitantes."
20,"Requisito de Lances: Iniciada a etapa competitiva, os licitantes deverão encaminhar lances exclusivamente por meio de sistema eletrônico de processamento do certame."
21,"Requisito de Intervalo: O intervalo entre os lances enviados pelo mesmo licitante não poderá ser inferior a 20 (vinte) segundos e o intervalo entre lances de licitantes diferentes não poderá ser inferior a 3 (três) segundos."
22,"Requisito de Empate: Havendo eventual empate entre propostas ou lances, os critérios de desempate serão aqueles previstos na ordem do art. 60 da Lei Federal nº 14.133/2021."
23,"Requisito de Negociação: O Pregoeiro poderá encaminhar, pelo sistema eletrônico, contraproposta ao licitante que tenha apresentado o melhor preço."
24,"Requisito de Aceitação: Encerrada a etapa de negociação, o Pregoeiro examinará a proposta classificada em primeiro lugar quanto à adequação ao objeto e à compatibilidade do preço."
25,"Requisito de Diligências: Qualquer interessado poderá requerer que se realizem diligências para aferir a exequibilidade e a legalidade das propostas."
26,"Requisito de Documentação: O Pregoeiro convocará o licitante para enviar documento digital complementar, no prazo de 30 (trinta) minutos, sob pena de não aceitação da proposta."
27,"Requisito de Aceitação de Propostas: O Pregoeiro examinará a proposta ou lance subsequente, e, assim sucessivamente, na ordem de classificação."
28,"Requisito de Apresentação: Havendo o aceite da proposta quanto ao valor, o interessado classificado provisoriamente em primeiro lugar deverá demonstrar a solução."
29,"Requisito de Demostração: A demonstração do Sistema poderá ocorrer no formato on-line ou presencial, ficando a critério do CONTRATANTE definir o que melhor atender no momento."
30,"Requisito de Desclassificação: A LICITANTE SERÁ DESCLASSIFICADA SE: Apresentar sistema não desenvolvido com arquitetura nativa para web."
31,"Requisito de Propriedade Intelectual: Apresentar documentação comprobatória de propriedade intelectual registrada no INPI - Instituto Nacional da Propriedade Industrial."
32,"Requisito de Equipe Técnica: Os serviços de que tratam o presente Edital deverão ser executados direta e pessoalmente pelos mesmos profissionais integrantes da equipe técnica constante da documentação apresentada para contratação."
33,"Requisito de Capacidade Técnica: Apresentar no mínimo 01 (um) atestado de Capacidade Técnica, expedido por pessoa jurídica de direito público ou privado."
34,"Requisito de Documentação: O(s) atestado(s) deverá(ão) ser emitido(s) em papel timbrado do emitente e deverá conter a razão social e CNPJ de ambas as empresas."
35,"Requisito de Disponibilidade: A empresa deverá fornecer os documentos comprobatórios necessários."
36,"Requisito de Declarações: As demais declarações exigidas serão apresentadas através do sistema do Portal de Compras Públicas."
37,"Requisito de Penalidades: Não tendo a sociedade empresária classificada como vencedora do certame apresentado a documentação exigida, no todo ou em parte, será esta desclassificada."
38,"Requisito de Validade: Todos os documentos exigidos para habilitação deverão estar no prazo de validade."
39,"Requisito de Profissional: O responsável técnico deverá ter 1 (um) por sistema/módulo."
40,"Requisito de Documentos Comprobatórios: Certificado de conclusão de graduação ou curso técnico na área de TI ou de especialização ou mestrado em áreas afins, a ser comprovado."
41,"Requisito de Experiência: Atestado com experiência comprovada na implantação da solução contratada."
42,"Requisito de Vínculo: A comprovação do vínculo do Responsável Técnico com a empresa poderá se dar pela apresentação de cópia do ato constitutivo no qual o profissional figure como sócio."
43,"Requisito de Vínculo: Quando Diretor, deverá ser apresentada ata de eleição."
44,"Requisito de Vínculo: Quando Empregado permanente da empresa, deverá ser apresentado Contrato de Trabalho por Tempo Indeterminado ou qualquer documento comprobatório de vínculo empregatício previsto na legislação da regência da matéria."
45,"Requisito de Vínculo: Comprovação da disponibilidade do profissional com base em contrato de prestação de serviços, sem vínculo trabalhista e regido pela legislação civil, caso este tipo de serviço comporte este tipo de contratação."
46,"Requisito de Declaração: Apresentar declaração de contratação futura, ou de disponibilidade no quadro atual, de profissionais que atendam às exigências constantes no item 9.12.8.4."
47,"Requisito de Documentos: A empresa deverá fornecer os documentos comprobatórios necessários."
48,"Requisito de Declarações: As demais declarações exigidas serão apresentadas através do sistema do Portal de Compras Públicas, devendo as licitantes assinalarem os campos respectivos no sistema conforme descrito na Cláusula IV – Das Condições de Participação -, item 4.5 deste Edital."
49,"Requisito de Desclassificação: Não tendo a sociedade empresária classificada como vencedora do certame apresentado a documentação exigida, no todo ou em parte, será esta desclassificada, podendo a ela ser aplicada as penalidades previstas na legislação que rege o procedimento, e será convocada então a sociedade empresária seguinte na ordem de classificação."
50,"Requisito de Documentos: Não serão aceitos pedidos de inscrição, protocolos, cartas ou qualquer outro documento que visem a substituir os exigidos no presente Edital e nem documentos com prazo de validade vencido, ressalvados os casos admitidos pela legislação."
51,"Requisito de Validade: Todos os documentos exigidos para habilitação deverão estar no prazo de validade."
52,"Requisito de Validade: Caso o órgão emissor não declare a validade do documento, esta será de 90 (noventa) dias, contados a partir da data de emissão, exceto o comprovante de inscrição no CNPJ e Atestado (s) de Capacidade Técnica."
53,"Requisito de Análise: O pregoeiro poderá, na análise e julgamento da habilitação, sanar erros ou falhas que não alterem a substância dos documentos e sua validade jurídica, mediante despacho fundamentado registrado e acessível a todos, atribuindo-lhes eficácia para fins de habilitação e classificação, na forma do § 1º do art. 64 da Lei Federal nº 14.133/2021."
54,"Requisito de Manifestação: O licitante interessado deverá manifestar, imediatamente, a sua intenção de recorrer, em campo próprio do sistema."
55,"Requisito de Prazo: O recorrente terá, a partir de então, o prazo de 3 (três) dias úteis para apresentar as razões, pelo sistema eletrônico."
56,"Requisito de Intimação: Os demais licitantes, desde logo, serão intimados para, querendo, apresentarem contrarrazões também pelo sistema eletrônico, em outros 3 (três) dias úteis."
57,"Requisito de Recursos: Os recursos serão dirigidos ao Pregoeiro, que poderá reconsiderar seu ato no prazo de 3 (três) dias úteis, contados da data de intimação ou de lavratura da ata."
58,"Requisito de Reconsideração: Poderá ocorrer pedido de reconsideração, no prazo de 3 (três) dias úteis, contado da data de intimação, relativamente a ato do qual não caiba recurso hierárquico."
59,"Requisito de Efeito Suspensivo: O recurso e o pedido de reconsideração terão efeito suspensivo do ato ou da decisão recorrida até que sobrevenha decisão final da autoridade competente."
60,"Requisito de Processo: Os autos do processo permanecerão com vista franqueada aos interessados, no endereço constante neste Edital."
61,"Requisito de Adjudicação: Decididos os recursos e constatada a regularidade dos atos praticados, a autoridade competente adjudicará o objeto da licitação à licitante vencedora e homologará o procedimento licitatório."
62,"Requisito de Sanções: No tocante aos recursos relativos às sanções administrativas, devem ser observadas as disposições dos arts. 165 a 168 da Lei Federal nº 14.133/2021."
63,"Requisito de Reabertura: A sessão pública poderá ser reaberta nas hipóteses de provimento de recurso que leve à anulação de atos anteriores à realização da sessão pública precedente."
64,"Requisito de Erro: Quando houver erro na aceitação do preço melhor classificado ou quando o licitante declarado vencedor não assinar o contrato, não retirar o instrumento equivalente ou não comprovar a regularização fiscal e trabalhista."
